epoch,error
0,175.038
1,150.73
2,150.603
3,142.536
4,138.366
5,134.042
6,131.525
7,131.823
8,129.345
9,129.509
10,128.829
11,128.579
12,130.063
13,131.015
14,128.845
15,130.315
16,131.872
17,130.173
18,128.43
19,126.471
20,127.765
21,127.585
22,125.749
23,126.073
24,126.376
25,124.722
26,125.488
27,127.131
28,124.998
29,124.91
30,124.925
31,122.599
32,124.818
33,124.546
34,122.909
35,124.309
36,123.261
37,122.398
38,122.099
39,122.141
40,122.195
41,122.999
42,122.672
43,121.966
44,122.724
45,122.218
46,122.273
47,121.691
48,122.858
49,123.597
50,122.937
51,123.805
52,123.218
53,122.976
54,123.086
55,122.282
56,122.108
57,122.936
58,120.563
59,121.798
60,122.077
61,120.626
62,122.432
63,119.959
64,120.044
65,120.709
66,120.697
67,122.117
68,123.12
69,122.093
70,122.285
71,121.828
72,120.955
73,121.054
74,120.701
75,120.592
76,120.961
77,121.606
78,122.236
79,121.614
80,121.092
81,120.537
82,120.094
83,121.61
84,120.656
85,121.992
86,121.654
87,122.575
88,121.759
89,120.416
90,120.45
91,121.529
92,119.827
93,120.618
94,119.485
95,119.784
96,121.215
97,119.44
98,120.539
99,120.364
100,119.921
101,119.956
102,120.333
103,120.917
104,120.497
105,121.212
106,120.37
107,121.726
108,119.055
109,119.558
110,119.146
111,120.814
112,120.008
113,120.78
114,119.642
115,120.895
116,120.221
117,121.416
118,120.877
119,120.395
120,120.542
121,120.826
122,119.626
123,120.941
124,120.583
125,118.582
126,118.988
127,120.019
128,118.843
129,120.821
130,119.219
131,118.9
132,119.628
133,120.104
134,119.215
135,119.6
136,120.825
137,119.964
138,119.383
139,119.863
140,120.273
141,119.59
142,118.406
143,119.606
144,120.758
145,119.603
146,119.109
147,118.995
148,118.864
149,118.882
150,118.254
151,118.957
152,118.367
153,119.688
154,118.119
155,117.613
156,120.015
157,118.064
158,118.34
159,119.102
160,118.556
161,119.706
162,119.046
163,117.649
164,118.534
165,119.128
166,119.806
167,117.985
168,118.473
169,119.252
170,117.995
171,117.876
172,117.994
173,117.518
174,119.165
175,116.737
176,118.044
177,118.432
178,118.756
179,116.543
180,118.167
181,117.642
182,118.118
183,119.257
184,119.193
185,118.438
186,117.736
187,116.667
188,117.004
189,118.123
190,118.87
191,117.888
192,117.242
193,116.253
194,118.971
195,117.824
196,117.161
197,117.336
198,119.34
199,116.057
200,120.354
201,118.939
202,118.483
203,117.607
204,116.86
205,116.482
206,118.3
207,116.793
208,117.442
209,117.352
210,116.972
211,118.06
212,116.731
213,118.545
214,118.593
215,117.918
216,115.973
217,117.213
218,116.714
219,117.572
220,115.072
221,116.148
222,116.447
223,116.736
224,118.108
225,117.638
226,118.254
227,115.194
228,115.174
229,117.076
230,115.438
231,117.134
232,116.201
233,118.061
234,117.108
235,116.16
236,116.186
237,116.811
238,118.044
239,116.695
240,116.296
241,116.666
242,117.627
243,116.847
244,116.644
245,116.335
246,115.172
247,116.274
248,115.472
249,117.089
250,117.684
251,117.932
252,116.301
253,115.535
254,116.663
255,117.46
256,115.596
257,117.11
258,114.843
259,117.54
260,114.717
261,114.612
262,117.824
263,116.576
264,118.097
265,115.397
266,114.55
267,116.265
268,116.264
269,115.674
270,114.313
271,113.608
272,114.322
273,115.792
274,115.421
275,115.058
276,115.621
277,115.663
278,114.687
279,115.86
280,116.031
281,114.557
282,113.793
283,115.769
284,113.873
285,115.589
286,115.588
287,114.881
288,116.204
289,116.246
290,115.04
291,115.033
292,114.107
293,115.251
294,116.375
295,113.224
296,115.794
297,115.178
298,115.879
299,113.871
300,114.395
301,114.447
302,114.696
303,114.438
304,114.176
305,115.847
306,114.388
307,115.546
308,114.162
309,113.781
310,116.634
311,114.548
312,114.039
313,112.991
314,113.942
315,113.837
316,113.642
317,114.05
318,115.602
319,114.199
320,115.918
321,114.653
322,113.655
323,113.373
324,112.121
325,114.893
326,112.671
327,114.628
328,114.806
329,116.01
330,115.528
331,113.403
332,113.66
333,114.667
334,113.38
335,113.014
336,116.386
337,113.794
338,111.794
339,114.595
340,116.046
341,112.428
342,113.067
343,112.641
344,114.088
345,115.654
346,113.499
347,112.882
348,111.821
349,113.76
350,111.647
351,113.479
352,113.593
353,111.55
354,110.37
355,113.345
356,112.712
357,113.252
358,110.251
359,112.279
360,113.469
361,110.668
362,112.592
363,114.107
364,112.678
365,112.871
366,110.639
367,112.219
368,112.59
369,113.616
370,112.362
371,110.86
372,112.246
373,110.55
374,109.829
375,110.383
376,110.447
377,113.015
378,112.2
379,110.289
380,110.892
381,111.206
382,111.469
383,110.865
384,112.947
385,110.2
386,112.084
387,112.167
388,110.408
389,110.581
390,110.835
391,111.118
392,111.115
393,113.371
394,110.929
395,109.973
396,109.859
397,111.171
398,109.496
399,108.406
400,108.03
401,110.161
402,108.321
403,106.921
404,108.978
405,109.701
406,109.783
407,109.095
408,112.697
409,107.596
410,108.368
411,110.03
412,109.689
413,110.088
414,109.71
415,110.613
416,109.254
417,108.919
418,108.423
419,109.41
420,109.462
421,107.76
422,107.783
423,110.349
424,109.858
425,107.644
426,108.446
427,108.948
428,108.509
429,109.205
430,108.15
431,106.862
432,108.455
433,108.504
434,106.979
435,108.888
436,109.263
437,108.259
438,107.402
439,109.058
440,107.437
441,108.26
442,107.799
443,108.404
444,107.151
445,111.002
446,107.804
447,108.46
448,107.874
449,107.85
450,106.767
451,107.417
452,108.346
453,105.743
454,108.816
455,107.779
456,108.923
457,109.371
458,105.812
459,108.555
460,105.473
461,107.825
462,105.687
463,107.794
464,108.528
465,107.503
466,107.637
467,106.64
468,106.368
469,106.168
470,108.108
471,104.68
472,107.155
473,105.608
474,103.776
475,103.39
476,106.098
477,104.24
478,105.257
479,107.031
480,107.396
481,105.484
482,103.957
483,106.773
484,105.2
485,106.368
486,107.574
487,103.072
488,105.314
489,104.771
490,104.707
491,105.136
492,104.046
493,104.233
494,105.537
495,104.258
496,103.752
497,103.484
498,106.125
499,103.57
